type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
49,2023-02-11 08:26:25+0000,2047,0.0,1.800000071525574,0.0,0.0,360.0
16,2023-02-10 13:49:06+0000,1792,0.0,1.800000071525574,0.0,0.0,214.0
16,2023-02-09 14:24:23+0000,988,0.0,1.800000071525574,0.0,0.0,80.0
49,2023-02-09 13:54:01+0000,1576,0.0,1.800000071525574,0.0,0.0,286.0
16,2023-02-07 13:39:51+0000,2313,0.0,1.800000071525574,0.0,0.0,198.0
16,2023-02-06 14:35:06+0000,1657,0.0,1.800000071525574,0.0,0.0,202.0
1,2023-02-05 08:46:58+0000,2826,191.0,0.1856611520051956,7583.0,0.372,436.0
16,2023-02-04 08:13:25+0000,1502,0.0,1.800000071525574,0.0,0.0,137.0
49,2023-02-03 13:20:17+0000,1349,0.0,1.800000071525574,0.0,0.0,292.0
16,2023-01-31 13:46:45+0000,693,0.0,1.800000071525574,0.0,0.0,78.0
49,2023-01-31 13:04:23+0000,2525,0.0,1.800000071525574,0.0,0.0,385.0
16,2023-01-30 14:24:02+0000,1726,0.0,1.800000071525574,0.0,0.0,168.0
1,2023-01-29 08:44:12+0000,2911,184.0,0.1841734498739243,7714.0,0.377,458.0
16,2023-01-27 14:18:21+0000,2575,0.0,1.800000071525574,0.0,0.0,243.0
16,2023-01-26 13:07:01+0000,1326,0.0,1.800000071525574,0.0,0.0,121.0
49,2023-01-26 12:30:50+0000,2162,0.0,1.800000071525574,0.0,0.0,415.0
16,2023-01-24 12:53:10+0000,1169,0.0,1.800000071525574,0.0,0.0,89.0
49,2023-01-24 12:10:50+0000,1633,0.0,1.800000071525574,0.0,0.0,248.0
16,2023-01-23 17:33:18+0000,2545,0.0,1.800000071525574,0.0,0.0,241.0
49,2023-01-21 09:43:19+0000,2220,0.0,1.800000071525574,0.0,0.0,260.0
16,2023-01-20 12:05:22+0000,3715,0.0,1.800000071525574,0.0,0.0,346.0
16,2023-01-19 11:38:30+0000,903,0.0,1.800000071525574,0.0,0.0,90.0
49,2023-01-19 11:03:29+0000,1633,0.0,1.800000071525574,0.0,0.0,267.0
16,2023-01-17 12:32:12+0000,1676,0.0,1.800000071525574,0.0,0.0,152.0
49,2023-01-17 12:09:18+0000,1363,0.0,1.800000071525574,0.0,0.0,102.0
16,2023-01-16 11:39:43+0000,1904,0.0,1.800000071525574,0.0,0.0,216.0
1,2023-01-15 08:43:48+0000,2907,186.0,0.1864168047904968,8201.0,0.354,481.0
16,2023-01-14 08:42:12+0000,3322,0.0,1.800000071525574,0.0,0.0,334.0
