"hr","accel_x","accel_y","accel_z","skin_temp","ts"
39,0.171875,-0.6292529,-0.7768506,337,"2023-03-16T00:00:00.054Z"
40,0.4980591,0.8768286,-0.04598633,337,"2023-03-16T00:01:00.617Z"
36,0.4938379,0.8782471,-0.059609376,335,"2023-03-16T00:02:01.179Z"
36,0.4869043,0.8805225,-0.07619629,333,"2023-03-16T00:03:01.742Z"
41,0.48648193,0.87990236,-0.08384521,332,"2023-03-16T00:04:02.304Z"
40,0.48213136,0.8797998,-0.10777588,331,"2023-03-16T00:05:02.866Z"
40,0.48109862,0.8834912,-0.07114258,330,"2023-03-16T00:06:03.428Z"
38,0.4908667,0.86438966,-0.17611328,329,"2023-03-16T00:07:03.991Z"
37,0.48941162,0.8642407,-0.18093018,328,"2023-03-16T00:08:04.553Z"
36,0.4898511,0.86416507,-0.1821704,327,"2023-03-16T00:09:05.115Z"
36,0.48874757,0.86130124,-0.19620118,326,"2023-03-16T00:10:05.677Z"
38,0.47771972,0.86432374,-0.20717286,325,"2023-03-16T00:11:06.240Z"
38,0.4754761,0.86067384,-0.23034424,325,"2023-03-16T00:12:06.802Z"
37,0.475188,0.85960203,-0.23244873,324,"2023-03-16T00:13:07.364Z"
39,0.4739502,0.86001706,-0.23426758,324,"2023-03-16T00:14:07.927Z"
38,0.39266112,0.90672606,-0.20068848,324,"2023-03-16T00:15:08.489Z"
35,0.28757325,0.90025145,0.33516845,323,"2023-03-16T00:16:09.051Z"
36,0.28756836,0.9011499,0.3313452,322,"2023-03-16T00:17:09.613Z"
37,0.28570068,0.90184814,0.33162108,322,"2023-03-16T00:18:10.176Z"
40,0.28431398,0.89923096,0.34025633,322,"2023-03-16T00:19:10.750Z"
39,0.27196532,0.91151613,0.31278566,321,"2023-03-16T00:20:11.313Z"
35,0.27181396,0.91634035,0.30106202,320,"2023-03-16T00:21:11.875Z"
38,0.2715503,0.917312,0.29846925,320,"2023-03-16T00:22:12.437Z"
35,0.30306152,0.7595996,0.57813966,319,"2023-03-16T00:23:13.000Z"
37,0.3027759,0.76097167,0.57614744,318,"2023-03-16T00:24:13.562Z"
34,0.5621631,0.35071778,0.76104003,318,"2023-03-16T00:25:14.124Z"
42,0.5638159,0.5629028,0.6170874,317,"2023-03-16T00:26:14.686Z"
39,0.56369627,0.5663428,0.6145801,317,"2023-03-16T00:27:15.249Z"
38,0.5628882,0.5666675,0.61449707,316,"2023-03-16T00:28:15.811Z"
38,0.5632422,0.57336426,0.608457,316,"2023-03-16T00:29:16.373Z"
38,0.562146,0.5747534,0.608645,316,"2023-03-16T00:30:16.935Z"
38,0.5620752,0.5751538,0.6076001,315,"2023-03-16T00:31:17.498Z"
37,0.5618555,0.5757129,0.60776854,315,"2023-03-16T00:32:18.060Z"
38,0.5617334,0.5758374,0.6069556,315,"2023-03-16T00:33:18.622Z"
37,0.4898999,0.79781497,0.37080324,315,"2023-03-16T00:34:19.184Z"
39,0.48976317,0.799353,0.36788818,315,"2023-03-16T00:35:19.747Z"
35,0.48955077,0.79979736,0.36556396,314,"2023-03-16T00:36:20.309Z"
38,0.48975098,0.80125,0.36412597,314,"2023-03-16T00:37:20.871Z"
42,0.48857665,0.8026123,0.36128417,314,"2023-03-16T00:38:21.446Z"
43,0.48812255,0.80362546,0.3608081,314,"2023-03-16T00:39:22.008Z"
48,0.36199462,0.9225586,0.1685913,314,"2023-03-16T00:40:22.570Z"
48,0.35646483,0.92774415,0.1500293,314,"2023-03-16T00:41:23.133Z"
45,0.35380858,0.93029296,0.13826416,314,"2023-03-16T00:42:23.695Z"
44,0.35077393,0.9320679,0.1326123,313,"2023-03-16T00:43:24.257Z"
44,0.34990966,0.93276614,0.12893799,313,"2023-03-16T00:44:24.819Z"
46,0.3504541,0.93418455,0.116967775,312,"2023-03-16T00:45:25.382Z"
44,0.3490576,0.93570554,0.112558596,312,"2023-03-16T00:46:25.944Z"
44,0.3487207,0.93568116,0.10917969,312,"2023-03-16T00:47:26.506Z"
43,0.34877685,0.9361084,0.109001465,311,"2023-03-16T00:48:27.068Z"
52,0.3467041,0.93693113,0.10597412,310,"2023-03-16T00:49:27.631Z"
54,0.34641114,0.93744385,0.104702145,310,"2023-03-16T00:50:28.193Z"
54,0.34587157,0.93794924,0.10424072,310,"2023-03-16T00:51:28.755Z"
66,-0.9073633,0.36474365,0.06778076,309,"2023-03-16T00:52:29.317Z"
40,-0.9043848,0.37166992,0.07445557,312,"2023-03-16T00:53:29.880Z"
41,-0.90216064,0.37641114,0.07932129,315,"2023-03-16T00:54:30.442Z"
40,-0.9007593,0.3777368,0.08083984,318,"2023-03-16T00:55:31.004Z"
43,-0.8989258,0.38237792,0.08273682,320,"2023-03-16T00:56:31.566Z"
42,-0.8984155,0.38284913,0.08771484,322,"2023-03-16T00:57:32.141Z"
39,-0.90048826,0.3796753,0.081069335,324,"2023-03-16T00:58:32.703Z"
36,-0.8980127,0.38330567,0.08894043,325,"2023-03-16T00:59:33.266Z"
37,-0.8971411,0.38531494,0.089787595,326,"2023-03-16T01:00:33.828Z"
42,-0.89776856,0.38466063,0.08942383,328,"2023-03-16T01:01:34.390Z"
38,-0.8995288,0.3814575,0.08652832,328,"2023-03-16T01:02:34.952Z"
43,-0.8976855,0.3845752,0.09038086,329,"2023-03-16T01:03:35.515Z"
44,-0.8986304,0.38384765,0.08750244,330,"2023-03-16T01:04:36.077Z"
42,-0.89668703,0.38656494,0.09010254,331,"2023-03-16T01:05:36.639Z"
40,-0.8965454,0.387334,0.09134521,331,"2023-03-16T01:06:37.201Z"
41,-0.8962427,0.38796142,0.09361816,332,"2023-03-16T01:07:37.764Z"
42,-0.8955225,0.3880127,0.09339111,333,"2023-03-16T01:08:38.326Z"
39,-0.8964795,0.3870044,0.092629395,334,"2023-03-16T01:09:38.888Z"
46,-0.8948877,0.38972414,0.09500244,335,"2023-03-16T01:10:39.450Z"
43,-0.89417726,0.39128417,0.09760498,335,"2023-03-16T01:11:40.013Z"
42,-0.8943896,0.39120117,0.09650635,336,"2023-03-16T01:12:40.575Z"
41,-0.89523435,0.38890135,0.09275391,335,"2023-03-16T01:13:41.137Z"
47,-0.8933203,0.39366454,0.09436523,335,"2023-03-16T01:14:41.699Z"
43,-0.89428467,0.3920874,0.09169922,336,"2023-03-16T01:15:42.262Z"
41,-0.89312744,0.39324462,0.09266357,337,"2023-03-16T01:16:42.836Z"
38,-0.8931421,0.39470458,0.09690186,337,"2023-03-16T01:17:43.399Z"
43,-0.892041,0.39493898,0.096911624,338,"2023-03-16T01:18:43.961Z"
45,-0.89173585,0.39577636,0.09943359,338,"2023-03-16T01:19:44.523Z"
40,-0.8934009,0.39312255,0.09596679,338,"2023-03-16T01:20:45.085Z"
44,-0.89231443,0.39574462,0.098979495,339,"2023-03-16T01:21:45.648Z"
43,-0.89171875,0.3950366,0.09817138,339,"2023-03-16T01:22:46.210Z"
40,-0.8912866,0.3963965,0.10077149,339,"2023-03-16T01:23:46.772Z"
41,-0.89194334,0.3957837,0.09892334,339,"2023-03-16T01:24:47.334Z"
46,-0.89107424,0.39791015,0.10062256,340,"2023-03-16T01:25:47.897Z"
46,-0.8901123,0.39769775,0.100551754,340,"2023-03-16T01:26:48.459Z"
42,-0.892229,0.39601806,0.09706543,340,"2023-03-16T01:27:49.021Z"
37,-0.89237547,0.39450195,0.096228026,340,"2023-03-16T01:28:49.583Z"
45,-0.892395,0.3946631,0.096486814,341,"2023-03-16T01:29:50.146Z"
38,-0.89095217,0.39752197,0.10061035,341,"2023-03-16T01:30:50.708Z"
40,-0.89275634,0.39459473,0.096816406,341,"2023-03-16T01:31:51.270Z"
40,-0.8907666,0.39857665,0.10217773,341,"2023-03-16T01:32:51.833Z"
39,-0.8923877,0.39492187,0.09645996,341,"2023-03-16T01:33:52.395Z"
40,-0.8892432,0.40110353,0.10161621,341,"2023-03-16T01:34:52.957Z"
47,-0.8897388,0.40046144,0.10067139,342,"2023-03-16T01:35:53.531Z"
65,0.048637696,0.5510425,0.8266797,342,"2023-03-16T01:36:54.094Z"
39,0.060808107,0.57888186,0.80691165,340,"2023-03-16T01:37:54.656Z"
47,0.059033204,0.61237305,0.7825024,338,"2023-03-16T01:38:55.218Z"
45,0.5230444,0.5398535,0.6709619,336,"2023-03-16T01:39:55.781Z"
38,0.52958983,0.5407446,0.6657007,335,"2023-03-16T01:40:56.343Z"
37,0.5140454,0.4920874,0.7144067,334,"2023-03-16T01:41:56.905Z"
38,0.51395506,0.49621826,0.710647,332,"2023-03-16T01:42:57.467Z"
39,0.5076367,0.5085156,0.7064746,331,"2023-03-16T01:43:58.030Z"
38,0.49655762,0.58875245,0.64810544,330,"2023-03-16T01:44:58.592Z"
39,0.4961084,0.58884764,0.6479468,329,"2023-03-16T01:45:59.154Z"
35,0.49650878,0.5894922,0.64741945,328,"2023-03-16T01:46:59.716Z"
36,0.49266112,0.6136719,0.62698483,327,"2023-03-16T01:48:00.279Z"
38,0.49157715,0.61507815,0.6269751,326,"2023-03-16T01:49:00.841Z"
38,0.49111083,0.6140308,0.6279028,326,"2023-03-16T01:50:01.403Z"
40,0.49110594,0.61662596,0.6254566,326,"2023-03-16T01:51:01.965Z"
37,0.4754492,0.674563,0.5748584,325,"2023-03-16T01:52:02.528Z"
36,0.43323243,0.5765064,0.7008789,325,"2023-03-16T01:53:03.090Z"
39,0.43302247,0.5780835,0.69937253,324,"2023-03-16T01:54:03.652Z"
37,0.43311036,0.5778833,0.699021,324,"2023-03-16T01:55:04.227Z"
38,0.4319409,0.579375,0.6987622,323,"2023-03-16T01:56:04.789Z"
39,-0.016462402,-0.7386084,-0.6921509,324,"2023-03-16T01:57:05.351Z"
37,-0.010473633,-0.7364453,-0.6954736,324,"2023-03-16T01:58:05.914Z"
37,-0.007050781,-0.73195314,-0.6995874,324,"2023-03-16T01:59:06.476Z"
40,-0.0051757814,-0.7326074,-0.6991406,325,"2023-03-16T02:00:07.038Z"
