"sport_name","created_at","updated_at","sport_id","activity_id","gps_enabled","intensity_score","max_heart_rate","average_heart_rate","distance","performance","energy","rpe","altitude_gain","altitude_change","cumulative_workout_intensity","zone_durations","projected_score","confidence","wac_prediction","kilojoules","user_id","during","timezone_offset","survey_response_id","percent_recorded","auto_detected","state","responded","team_act_id","source"
"Functional Fitness","2023-03-27T16:37:09.523+0000","2023-03-27T16:45:18.629+0000",48,635975562,false,5.4457,131,94,,,,,,,0,"[1541012,501802,539277,0,0,0]",,,,577.5150146484375,6696318,"['2023-03-27T15:54:06.000Z','2023-03-27T16:37:08.743Z')","+0200",,1,false,"complete",false,,"user"
"Swimming","2023-03-26T12:03:00.127+0000","2023-03-26T12:03:07.528+0000",33,635021619,false,5.2708,165,83,,,,,,,0,"[2583070,767119,92287,122085,35568,0]",,,,589.7031860351562,6696318,"['2023-03-26T10:40:00.000Z','2023-03-26T11:40:00.000Z')","+0200",108123466,1,false,"complete",true,,"user"
"Activity","2023-03-25T10:57:16.812+0000","2023-03-25T11:27:44.213+0000",-1,634258569,false,12.0674,207,112,,,,,,,0,"[382641,3344363,811341,190341,309540,219178]",,,,2230.986083984375,6696318,"['2023-03-25T09:04:53.637Z','2023-03-25T10:32:31.002Z')","+0100",,1,true,"complete",false,,"user"
"Functional Fitness","2023-03-24T11:11:21.830+0000","2023-03-24T13:09:10.308+0000",48,633599176,false,7.1172,131,96,,,,,,,0,"[1231557,2092762,881517,16341,0,0]",,,,1125.50537109375,6696318,"['2023-03-24T10:00:59.000Z','2023-03-24T11:11:21.364Z')","+0100",,1,false,"complete",false,,"user"
"Rowing","2023-03-23T13:53:34.236+0000","2023-03-23T14:05:58.434+0000",18,633046174,false,9.3465,170,113,,,,,,,0,"[486459,620013,638294,584471,314349,11537]",,,,1265.178955078125,6696318,"['2023-03-23T13:09:18.133Z','2023-03-23T13:53:33.257Z')","+0100",,1,false,"complete",false,,"user"
"HIIT","2023-03-21T10:36:41.695+0000","2023-03-21T10:41:49.566+0000",96,631363130,false,6.1732,149,110,,,,,,,0,"[134583,362453,882450,149000,3846,0]",,,,665.7114868164062,6696318,"['2023-03-21T10:11:08.628Z','2023-03-21T10:36:41.022Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-20T13:22:34.422+0000","2023-03-20T13:39:03.780+0000",48,630789338,false,6.3148,134,105,,,,,,,0,"[196144,859411,1030517,72099,0,0]",,,,776.1895751953125,6696318,"['2023-03-20T12:46:35.985Z','2023-03-20T13:22:33.504Z')","+0100",,1,false,"complete",false,,"user"
"Running","2023-03-19T09:11:22.451+0000","2023-03-19T09:25:49.486+0000",0,629863370,true,10.5676,175,131,5485.581378793649,,,,171.4127,-8.938113,0,"[0,144194,457605,664262,569098,116316]",,,,1358.1549072265625,6696318,"['2023-03-19T08:38:49.379Z','2023-03-19T09:11:20.549Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-17T17:23:44.750+0000","2023-03-17T17:33:31.595+0000",48,628862397,false,5.8209,128,89,,,,,,,0,"[2091839,1762076,408555,0,0,0]",,,,766.3298950195312,6696318,"['2023-03-17T16:12:40.806Z','2023-03-17T17:23:43.694Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-16T13:26:06.163+0000","2023-03-16T13:33:21.282+0000",48,628029539,false,5.182,126,94,,,,,,,0,"[616235,889209,515259,0,0,0]",,,,454.2020263671875,6696318,"['2023-03-16T12:52:24.242Z','2023-03-16T13:26:05.007Z')","+0100",,1,false,"complete",false,,"user"
"Skiing","2023-03-16T12:36:50.724+0000","2023-03-16T12:37:03.183+0000",29,627984290,false,10.8959,169,134,,,,,,,0,"[81750,59601,290314,574862,761354,32684]",,,,1322.758056640625,6696318,"['2023-03-16T12:00:00.000Z','2023-03-16T12:30:00.000Z')","+0100",108041495,1,false,"complete",true,,"user"
"Functional Fitness","2023-03-14T13:58:06.119+0000","2023-03-14T14:12:15.232+0000",48,626602879,false,4.8504,135,96,,,,,,,0,"[384560,448928,318194,26917,0,0]",,,,302.8253479003906,6696318,"['2023-03-14T13:38:26.534Z','2023-03-14T13:58:05.411Z')","+0100",,1,false,"complete",false,,"user"
"Cycling","2023-03-14T13:14:57.438+0000","2023-03-14T13:24:36.009+0000",1,626568688,false,10.681,173,133,,,,,,,0,"[0,162460,441281,509488,496036,156678]",,,,1277.5308837890625,6696318,"['2023-03-14T12:45:30.828Z','2023-03-14T13:14:57.040Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-13T20:18:43.208+0000","2023-03-13T20:40:59.073+0000",48,626034116,false,8.4643,142,94,,,,,,,0,"[2126445,3401100,1240085,111512,0,0]",,,,1736.5933837890625,6696318,"['2023-03-13T18:24:03.394Z','2023-03-13T20:18:42.753Z')","+0100",,1,false,"complete",false,,"user"
"Running","2023-03-12T20:21:53.184+0000","2023-03-12T20:28:54.448+0000",0,625342230,true,14.0917,181,130,8382.419841074594,,,,282.17816,-1.853743,0,"[310500,737362,189378,408556,1214130,352798]",,,,2199.67529296875,6696318,"['2023-03-12T19:28:18.074Z','2023-03-12T20:21:50.583Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-11T12:08:05.712+0000","2023-03-11T12:17:09.173+0000",48,624316900,false,5.346,129,87,,,,,,,0,"[1414119,1395819,307616,1923,0,0]",,,,548.2250366210938,6696318,"['2023-03-11T11:15:00.000Z','2023-03-11T12:07:00.000Z')","+0100",107992947,1,false,"complete",true,,"user"
"Functional Fitness","2023-03-10T15:59:58.171+0000","2023-03-10T16:12:46.428+0000",48,623862909,false,6.8692,135,93,,,,,,,0,"[1587152,2167745,942081,40375,0,0]",,,,1123.98828125,6696318,"['2023-03-10T14:40:59.821Z','2023-03-10T15:59:57.920Z')","+0100",,1,false,"complete",false,,"user"
"Rowing","2023-03-09T14:46:07.121+0000","2023-03-09T14:50:16.965+0000",18,623123587,false,8.4858,164,128,,,,,,,0,"[39414,165383,193222,518144,426820,0]",,,,899.305419921875,6696318,"['2023-03-09T14:23:42.730Z','2023-03-09T14:46:05.894Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-07T19:43:06.070+0000","2023-03-07T19:51:26.765+0000",48,621812506,false,4.7562,131,84,,,,,,,0,"[1455459,634458,212449,6729,0,0]",,,,361.2150573730469,6696318,"['2023-03-07T19:04:35.362Z','2023-03-07T19:43:05.327Z')","+0100",,1,false,"complete",false,,"user"
"Activity","2023-03-06T21:49:59.734+0000","2023-03-06T22:08:36.792+0000",-1,621113750,false,4.5571,127,95,,,,,,,0,"[250940,490266,135543,0,0,0]",,,,216.4027099609375,6696318,"['2023-03-06T21:28:52.609Z','2023-03-06T21:49:59.503Z')","+0100",,1,true,"complete",false,,"auto+user"
"Functional Fitness","2023-03-06T17:18:08.308+0000","2023-03-06T17:23:54.601+0000",48,621001236,false,6.2754,142,111,,,,,,,0,"[110590,430649,751725,249941,0,0]",,,,673.996337890625,6696318,"['2023-03-06T16:52:24.843Z','2023-03-06T17:18:07.726Z')","+0100",,1,false,"complete",false,,"user"
"Activity","2023-03-06T16:52:15.959+0000","2023-03-06T17:03:09.526+0000",-1,620989759,false,4.8774,127,110,,,,,,,0,"[0,283626,402785,0,0,0]",,,,293.6979675292969,6696318,"['2023-03-06T16:24:18.361Z','2023-03-06T16:52:15.791Z')","+0100",,1,true,"complete",false,,"auto+user"
"Running","2023-03-05T17:51:07.350+0000","2023-03-05T18:03:43.886+0000",0,620302472,true,10.5673,170,125,7175.51964268223,,,,260.77322,-3.275616,0,"[32723,431627,487378,1136253,308579,38453]",,,,1500.29443359375,6696318,"['2023-03-05T17:10:29.623Z','2023-03-05T17:51:04.521Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-03T13:42:39.663+0000","2023-03-03T13:51:18.566+0000",48,618783229,false,6.3738,148,94,,,,,,,0,"[1385282,1095875,472000,281663,6729,0]",,,,794.9189453125,6696318,"['2023-03-03T12:48:38.223Z','2023-03-03T13:42:39.362Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-03-02T13:00:44.650+0000","2023-03-02T13:06:24.429+0000",48,618046666,false,3.0345,95,76,,,,,,,0,"[766200,31722,0,0,0,0]",,,,68.1571044921875,6696318,"['2023-03-02T12:47:25.805Z','2023-03-02T13:00:43.485Z')","+0100",,1,false,"complete",false,,"user"
"Skiing","2023-03-02T12:40:50.204+0000","2023-03-02T12:45:00.869+0000",29,618024428,false,10.0855,170,136,,,,,,,0,"[151927,35567,59600,285495,660419,68250]",,,,978.6028442382812,6696318,"['2023-03-02T12:19:48.953Z','2023-03-02T12:40:49.678Z')","+0100",,1,false,"complete",false,,"user"
"Cycling","2023-02-28T13:10:05.828+0000","2023-02-28T13:27:46.096+0000",1,616599716,false,13.5661,170,151,,,,,,,0,"[18304,40375,19226,395082,1052629,273973]",,,,1725.3223876953125,6696318,"['2023-02-28T12:40:02.714Z','2023-02-28T13:10:02.714Z')","+0100",,1,false,"complete",false,,"external"
"Functional Fitness","2023-02-27T21:41:26.287+0000","2023-02-27T21:41:37.306+0000",48,616139795,false,6.5149,144,93,,,,,,,0,"[1458326,714249,508532,319153,0,0]",,,,773.9407348632812,6696318,"['2023-02-27T19:40:00.000Z','2023-02-27T20:30:00.000Z')","+0100",107866810,1,false,"complete",true,,"user"
"Swimming","2023-02-26T13:01:26.780+0000","2023-02-26T13:16:54.782+0000",33,615129856,false,6.5877,135,86,,,,,,,0,"[2559034,1628450,1019948,51909,0,0]",,,,1071.3636474609375,6696318,"['2023-02-26T11:33:46.612Z','2023-02-26T13:01:26.479Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-02-25T09:35:55.398+0000","2023-02-25T09:48:30.320+0000",48,614322048,false,4.4695,131,97,,,,,,,0,"[217256,240326,145195,44220,0,0]",,,,170.6910400390625,6696318,"['2023-02-25T09:25:08.530Z','2023-02-25T09:35:54.964Z')","+0100",,1,false,"complete",false,,"user"
"Skiing","2023-02-25T09:24:59.304+0000","2023-02-25T09:34:24.063+0000",29,614318061,false,8.4281,153,111,,,,,,,0,"[507607,549869,532564,933431,69211,0]",,,,1142.9002685546875,6696318,"['2023-02-25T08:41:45.650Z','2023-02-25T09:24:58.314Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-02-24T13:43:18.705+0000","2023-02-24T13:53:49.402+0000",48,613862929,false,4.5746,118,79,,,,,,,0,"[2159086,786348,87479,0,0,0]",,,,378.004150390625,6696318,"['2023-02-24T12:52:45.241Z','2023-02-24T13:43:18.407Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-02-23T13:09:35.818+0000","2023-02-23T13:21:43.039+0000",48,613140189,false,4.9601,129,106,,,,,,,0,"[99975,297083,456620,2884,0,0]",,,,308.24151611328125,6696318,"['2023-02-23T12:55:17.906Z','2023-02-23T13:09:34.937Z')","+0100",,1,false,"complete",false,,"user"
"Rowing","2023-02-23T12:55:07.273+0000","2023-02-23T13:07:31.014+0000",18,613123691,false,8.3858,165,117,,,,,,,0,"[236519,233600,738281,374908,339342,0]",,,,993.501953125,6696318,"['2023-02-23T12:23:03.443Z','2023-02-23T12:55:06.700Z')","+0100",,1,false,"complete",false,,"user"
"Activity","2023-02-22T14:31:45.179+0000","2023-02-22T19:48:00.335+0000",-1,612511188,false,4.7241,120,93,,,,,,,0,"[402785,840221,120164,0,0,0]",,,,269.11614990234375,6696318,"['2023-02-22T14:07:18.296Z','2023-02-22T14:31:45.014Z')","+0100",107695386,1,true,"complete",true,,"auto+user"
"Activity","2023-02-22T12:21:13.054+0000","2023-02-22T12:33:25.320+0000",-1,612377644,false,4.3781,116,101,,,,,,,0,"[5807,482576,46142,0,0,0]",,,,155.29490661621094,6696318,"['2023-02-22T11:57:10.570Z','2023-02-22T12:21:12.923Z')","+0100",,1,true,"complete",false,,"auto+user"
