"hr","accel_x","accel_y","accel_z","skin_temp","ts"
37,0.09927735,-0.7525879,-0.6781372,339,"2023-01-15T00:00:00.223Z"
39,0.10262939,-0.76088136,-0.6688501,339,"2023-01-15T00:01:00.785Z"
41,0.10254639,-0.7608716,-0.66803956,338,"2023-01-15T00:02:01.347Z"
38,0.102810055,-0.7610986,-0.6676807,338,"2023-01-15T00:03:01.910Z"
40,0.1038501,-0.76138425,-0.6676294,337,"2023-01-15T00:04:02.457Z"
41,0.10378906,-0.76192385,-0.6670142,337,"2023-01-15T00:05:03.019Z"
41,0.103569336,-0.7618018,-0.6671655,337,"2023-01-15T00:06:03.582Z"
41,0.10317383,-0.76266843,-0.6660718,337,"2023-01-15T00:07:04.144Z"
39,0.10443115,-0.77893555,-0.64719236,336,"2023-01-15T00:08:04.706Z"
41,0.105493166,-0.7785498,-0.64734375,336,"2023-01-15T00:09:05.268Z"
39,0.105651855,-0.77861327,-0.6467041,336,"2023-01-15T00:10:05.830Z"
47,0.10424805,-0.7763672,-0.65006346,336,"2023-01-15T00:11:06.405Z"
44,0.10396972,-0.7773877,-0.6485718,336,"2023-01-15T00:12:06.967Z"
40,0.10456055,-0.7776904,-0.6488354,335,"2023-01-15T00:13:07.530Z"
45,0.10541016,-0.77805173,-0.6477368,335,"2023-01-15T00:14:08.092Z"
41,0.10501953,-0.7784741,-0.6473462,335,"2023-01-15T00:15:08.654Z"
37,0.03283203,-0.6197095,-0.80442137,335,"2023-01-15T00:16:09.216Z"
43,0.03378418,-0.61829346,-0.80515623,335,"2023-01-15T00:17:09.778Z"
46,0.030817872,-0.61617434,-0.8067456,335,"2023-01-15T00:18:10.341Z"
44,0.032692872,-0.61756104,-0.80596435,336,"2023-01-15T00:19:10.903Z"
48,0.034570314,-0.616145,-0.80666995,337,"2023-01-15T00:20:11.465Z"
53,0.03484619,-0.6160913,-0.8061084,337,"2023-01-15T00:21:12.027Z"
51,0.034003906,-0.61216795,-0.8092847,338,"2023-01-15T00:22:12.589Z"
44,0.034560546,-0.6133545,-0.8084302,338,"2023-01-15T00:23:13.152Z"
48,0.03401123,-0.6203003,-0.8032837,339,"2023-01-15T00:24:13.714Z"
45,0.034260254,-0.62168455,-0.80219483,339,"2023-01-15T00:25:14.276Z"
51,0.03468506,-0.62030274,-0.8028101,340,"2023-01-15T00:26:14.838Z"
47,0.034362793,-0.6212573,-0.80255127,340,"2023-01-15T00:27:15.401Z"
50,0.034921873,-0.6221216,-0.8019019,340,"2023-01-15T00:28:15.963Z"
56,0.6027173,-0.07223144,0.8082153,338,"2023-01-15T00:29:16.525Z"
43,0.60138917,-0.07717529,0.8095874,338,"2023-01-15T00:30:17.100Z"
40,0.60059816,-0.077692874,0.8098535,338,"2023-01-15T00:31:17.662Z"
42,0.6003784,-0.07798096,0.81026614,339,"2023-01-15T00:32:18.224Z"
41,0.60078615,-0.078117676,0.81048584,339,"2023-01-15T00:33:18.786Z"
44,0.60108644,-0.077285156,0.8103418,340,"2023-01-15T00:34:19.349Z"
41,0.60017824,-0.07915039,0.81063724,340,"2023-01-15T00:35:19.911Z"
44,0.5983887,-0.07992187,0.8115088,341,"2023-01-15T00:36:20.473Z"
45,0.5995728,-0.07852051,0.8113794,342,"2023-01-15T00:37:21.035Z"
39,0.6000049,-0.06403808,0.8128174,342,"2023-01-15T00:38:21.597Z"
43,0.5989819,-0.07779785,0.81210935,343,"2023-01-15T00:39:22.160Z"
36,0.5990259,-0.07116455,0.8124536,344,"2023-01-15T00:40:22.722Z"
