"hr","accel_x","accel_y","accel_z","skin_temp","ts"
46,-0.59358644,0.55245364,0.55109864,349,"2023-02-24T00:00:00.043Z"
48,-0.5908252,0.5534546,0.55291015,349,"2023-02-24T00:01:00.605Z"
50,-0.5952612,0.55047363,0.54964113,350,"2023-02-24T00:02:01.168Z"
49,-0.5898511,0.55345947,0.55420166,350,"2023-02-24T00:03:01.730Z"
45,-0.5895776,0.55395997,0.55422854,350,"2023-02-24T00:04:02.292Z"
52,-0.5967603,0.5492749,0.5498169,350,"2023-02-24T00:05:02.854Z"
46,-0.5956909,0.5490698,0.55125976,350,"2023-02-24T00:06:03.417Z"
42,-0.59488034,0.55052,0.5508716,351,"2023-02-24T00:07:03.991Z"
54,0.5184912,-0.037866212,0.8674561,351,"2023-02-24T00:08:04.553Z"
40,0.5156299,-0.024311524,0.86942625,351,"2023-02-24T00:09:05.116Z"
47,0.517124,-0.025910644,0.8685156,351,"2023-02-24T00:10:05.678Z"
43,0.5172119,-0.028449707,0.8686182,351,"2023-02-24T00:11:06.240Z"
42,0.5183496,-0.027783204,0.8681445,351,"2023-02-24T00:12:06.802Z"
46,0.5179688,-0.029418945,0.8677344,351,"2023-02-24T00:13:07.365Z"
43,0.5184546,-0.030568847,0.8675635,351,"2023-02-24T00:14:07.927Z"
39,0.51867676,-0.031672362,0.8676123,351,"2023-02-24T00:15:08.489Z"
46,0.5184961,-0.032365724,0.8674121,351,"2023-02-24T00:16:09.051Z"
39,0.5301318,0.035810545,0.86009765,351,"2023-02-24T00:17:09.614Z"
41,0.52962893,0.035214845,0.8605322,351,"2023-02-24T00:18:10.176Z"
47,0.54237306,0.06630127,0.849895,351,"2023-02-24T00:19:10.738Z"
40,0.5388672,0.0691626,0.8518848,351,"2023-02-24T00:20:11.300Z"
43,0.5398755,0.07032715,0.8518677,351,"2023-02-24T00:21:11.862Z"
43,0.5395239,0.07135498,0.85112303,351,"2023-02-24T00:22:12.425Z"
42,0.53998536,0.071035154,0.851416,351,"2023-02-24T00:23:12.987Z"
