"hr","accel_x","accel_y","accel_z","skin_temp","ts"
38,0.46357667,-0.90901613,0.08630859,344,"2022-12-26T00:00:00.829Z"
50,0.650354,-0.35730714,0.6935669,341,"2022-12-26T00:01:01.392Z"
42,-0.04156494,-1.0153711,-0.015771484,335,"2022-12-26T00:02:01.954Z"
39,-0.046489257,-1.0138892,-0.030576171,331,"2022-12-26T00:03:02.516Z"
43,-0.04665039,-1.0155469,-0.014050293,328,"2022-12-26T00:04:03.078Z"
42,-0.046904296,-1.0149609,-0.014956054,326,"2022-12-26T00:05:03.640Z"
41,-0.047443848,-1.0148486,-0.014694824,326,"2022-12-26T00:06:04.203Z"
37,-0.04776367,-1.0147071,-0.01683838,326,"2022-12-26T00:07:04.765Z"
42,-0.047824707,-1.0145434,-0.017282715,326,"2022-12-26T00:08:05.327Z"
45,-0.0485083,-1.015044,-0.017529298,326,"2022-12-26T00:09:05.889Z"
43,-0.04861084,-1.0149047,-0.017612305,326,"2022-12-26T00:10:06.451Z"
49,-0.04863281,-1.0149878,-0.01729248,326,"2022-12-26T00:11:07.014Z"
47,-0.048669435,-1.0150146,-0.017297363,326,"2022-12-26T00:12:07.576Z"
48,-0.049836427,-1.015437,-0.01876709,326,"2022-12-26T00:13:08.138Z"
46,-0.050046388,-1.014956,-0.028159179,326,"2022-12-26T00:14:08.700Z"
49,-0.050439455,-1.0144898,-0.028542481,327,"2022-12-26T00:15:09.275Z"
49,-0.050673828,-1.0148511,-0.028642578,327,"2022-12-26T00:16:09.837Z"
52,-0.050861817,-1.0149024,-0.028623046,328,"2022-12-26T00:17:10.399Z"
49,-0.050388183,-1.0148926,-0.027348632,328,"2022-12-26T00:18:10.962Z"
47,-0.05080078,-1.0145704,-0.029194336,328,"2022-12-26T00:19:11.524Z"
48,-0.05029297,-1.0142895,-0.029060058,328,"2022-12-26T00:20:12.086Z"
45,-0.05065918,-1.0146191,-0.02833496,328,"2022-12-26T00:21:12.648Z"
49,-0.051220704,-1.01396,-0.030048829,329,"2022-12-26T00:22:13.210Z"
45,-0.051108398,-1.0141284,-0.029282227,329,"2022-12-26T00:23:13.773Z"
41,-0.05205078,-1.0148145,-0.030515136,329,"2022-12-26T00:24:14.335Z"
40,-0.051640626,-1.014021,-0.030534668,329,"2022-12-26T00:25:14.897Z"
48,-0.05211914,-1.0147241,-0.030217284,330,"2022-12-26T00:26:15.459Z"
44,-0.052265625,-1.0141357,-0.030573731,330,"2022-12-26T00:27:16.021Z"
49,-0.0524292,-1.0148267,-0.031643067,330,"2022-12-26T00:28:16.584Z"
44,-0.05258789,-1.0142212,-0.031384278,330,"2022-12-26T00:29:17.146Z"
42,-0.05229248,-1.0141236,-0.03208252,330,"2022-12-26T00:30:17.708Z"
42,-0.0515625,-1.0144238,-0.03032959,331,"2022-12-26T00:31:18.270Z"
46,-0.051848143,-1.0151782,-0.029008789,331,"2022-12-26T00:32:18.833Z"
45,-0.052094728,-1.0141944,-0.029892579,331,"2022-12-26T00:33:19.395Z"
41,-0.052766114,-1.0143237,-0.031140137,332,"2022-12-26T00:34:19.969Z"
46,-0.05270508,-1.0141089,-0.031389162,332,"2022-12-26T00:35:20.531Z"
45,-0.052836914,-1.0144556,-0.031179199,333,"2022-12-26T00:36:21.094Z"
45,-0.052946776,-1.0140551,-0.03164795,333,"2022-12-26T00:37:21.656Z"
47,-0.052839354,-1.0142407,-0.033127442,333,"2022-12-26T00:38:22.218Z"
41,-0.053579103,-1.0143554,-0.03378418,333,"2022-12-26T00:39:22.780Z"
43,-0.053188477,-1.0147852,-0.032502443,334,"2022-12-26T00:40:23.343Z"
44,-0.05376709,-1.0143677,-0.03311035,334,"2022-12-26T00:41:23.905Z"
43,-0.053747557,-1.014856,-0.032399904,334,"2022-12-26T00:42:24.467Z"
40,-0.053234864,-1.0142846,-0.033459473,334,"2022-12-26T00:43:25.029Z"
38,-0.0048535154,-1.0101782,-0.12069092,335,"2022-12-26T00:44:25.591Z"
41,-0.0040112305,-1.0101246,-0.120231934,336,"2022-12-26T00:45:26.154Z"
44,-0.0034936524,-1.0107543,-0.12138428,336,"2022-12-26T00:46:26.716Z"
40,0.03567627,-1.0140723,-0.08048828,333,"2022-12-26T00:47:27.278Z"
43,0.03467041,-1.0142212,-0.08310547,332,"2022-12-26T00:48:27.840Z"
46,0.035458986,-1.0133252,-0.08336914,331,"2022-12-26T00:49:28.402Z"
40,0.036379393,-1.0133033,-0.08270752,331,"2022-12-26T00:50:28.965Z"
43,0.03595459,-1.0139405,-0.084934086,331,"2022-12-26T00:51:29.527Z"
43,0.036542967,-1.0138745,-0.08395019,331,"2022-12-26T00:52:30.089Z"
49,0.036782227,-1.0135254,-0.08391846,332,"2022-12-26T00:53:30.664Z"
40,0.036035158,-1.0135351,-0.08643066,331,"2022-12-26T00:54:31.226Z"
39,0.036787108,-1.01354,-0.08467773,331,"2022-12-26T00:55:31.788Z"
37,0.073293455,-0.9954614,-0.20919433,333,"2022-12-26T00:56:32.350Z"
36,0.07378906,-0.9953052,-0.20980224,333,"2022-12-26T00:57:32.913Z"
37,0.074384764,-0.9955835,-0.20891114,334,"2022-12-26T00:58:33.475Z"
41,0.07480957,-0.99463135,-0.21311523,333,"2022-12-26T00:59:34.037Z"
39,0.07540039,-0.9942578,-0.21351562,333,"2022-12-26T01:00:34.599Z"
41,0.075688474,-0.9944189,-0.21407959,333,"2022-12-26T01:01:35.161Z"
41,0.07638183,-0.9947046,-0.21061523,333,"2022-12-26T01:02:35.723Z"
38,0.07620606,-0.9946655,-0.21079834,333,"2022-12-26T01:03:36.286Z"
37,0.076557614,-0.9926294,-0.2182837,333,"2022-12-26T01:04:36.848Z"
39,0.07605225,-0.99270266,-0.21949707,334,"2022-12-26T01:05:37.410Z"
38,0.07597412,-0.99216795,-0.21973632,333,"2022-12-26T01:06:37.972Z"
55,-0.023410644,-0.5338037,-0.8652734,334,"2022-12-26T01:07:38.534Z"
38,-0.021225587,-0.5312036,-0.866875,332,"2022-12-26T01:08:39.097Z"
35,-0.0061694337,-0.5284082,-0.86916506,332,"2022-12-26T01:09:39.659Z"
42,-0.005595703,-0.52910644,-0.8685596,332,"2022-12-26T01:10:40.221Z"
39,-0.004477539,-0.52894044,-0.8682349,332,"2022-12-26T01:11:40.783Z"
38,-0.004040527,-0.52949464,-0.86781496,333,"2022-12-26T01:12:41.358Z"
42,-0.0038061524,-0.5301367,-0.8672168,333,"2022-12-26T01:13:41.920Z"
38,-0.007585449,-0.54597414,-0.856687,334,"2022-12-26T01:14:42.482Z"
41,0.6170679,-0.15926026,0.7864282,335,"2022-12-26T01:15:43.045Z"
37,0.6150757,-0.13805664,0.7911157,333,"2022-12-26T01:16:43.607Z"
36,0.6115503,-0.13336182,0.79375243,332,"2022-12-26T01:17:44.169Z"
36,0.61086917,-0.1303955,0.79528075,330,"2022-12-26T01:18:44.731Z"
36,0.6124194,-0.13046387,0.7937036,329,"2022-12-26T01:19:45.293Z"
35,0.620896,-0.122924805,0.78824216,327,"2022-12-26T01:20:45.856Z"
38,0.6185547,-0.1208667,0.7900366,326,"2022-12-26T01:21:46.418Z"
37,0.6144824,-0.11590332,0.79355955,324,"2022-12-26T01:22:46.980Z"
37,0.6167309,-0.11744873,0.79182374,323,"2022-12-26T01:23:47.542Z"
39,0.61310303,-0.114147946,0.7955518,321,"2022-12-26T01:24:48.104Z"
38,0.61336917,-0.11373047,0.79516846,320,"2022-12-26T01:25:48.667Z"
38,0.6133252,-0.11328125,0.7950781,320,"2022-12-26T01:26:49.229Z"
36,0.6132178,-0.1098291,0.7959912,319,"2022-12-26T01:27:49.791Z"
38,0.61333007,-0.109064944,0.7958325,318,"2022-12-26T01:28:50.353Z"
41,0.61428225,-0.1096167,0.7946973,317,"2022-12-26T01:29:50.916Z"
36,0.6123437,-0.10717529,0.79652345,316,"2022-12-26T01:30:51.478Z"
43,0.6079956,-0.07125488,0.8034302,316,"2022-12-26T01:31:52.052Z"
38,0.61070555,-0.075397946,0.80002683,315,"2022-12-26T01:32:52.615Z"
37,0.60763913,-0.071315914,0.8035254,315,"2022-12-26T01:33:53.177Z"
43,0.6095532,-0.07239502,0.8018701,314,"2022-12-26T01:34:53.739Z"
38,0.6099658,-0.073728025,0.8008106,313,"2022-12-26T01:35:54.301Z"
38,0.6088428,-0.07250244,0.80216795,313,"2022-12-26T01:36:54.863Z"
37,0.61043215,-0.07497559,0.80017823,313,"2022-12-26T01:37:55.426Z"
42,0.608418,-0.07951904,0.8016113,312,"2022-12-26T01:38:55.988Z"
37,0.63639647,-0.053701174,0.78346926,312,"2022-12-26T01:39:56.550Z"
34,0.7145776,-0.043574218,0.7167065,312,"2022-12-26T01:40:57.112Z"
39,0.7140088,-0.040874023,0.717334,312,"2022-12-26T01:41:57.675Z"
39,0.71397215,-0.0389624,0.7174341,311,"2022-12-26T01:42:58.237Z"
42,0.7143628,-0.039848633,0.71680176,311,"2022-12-26T01:43:58.799Z"
39,0.71552247,-0.03980713,0.7158716,311,"2022-12-26T01:44:59.361Z"
39,0.71694094,-0.04008545,0.7142969,311,"2022-12-26T01:45:59.923Z"
39,0.71104246,0.033376466,0.7187549,311,"2022-12-26T01:47:00.486Z"
37,0.7130225,0.033391114,0.7167773,313,"2022-12-26T01:48:01.048Z"
38,0.7134546,0.032722168,0.71660644,314,"2022-12-26T01:49:01.610Z"
41,0.71348387,0.034172364,0.7164795,315,"2022-12-26T01:50:02.172Z"
35,0.68270755,-0.09636963,0.7411182,317,"2022-12-26T01:51:02.747Z"
42,0.68261474,-0.09996338,0.73987305,318,"2022-12-26T01:52:03.309Z"
42,0.6797949,-0.09713623,0.743562,317,"2022-12-26T01:53:03.871Z"
38,0.6829736,-0.10271729,0.7400854,317,"2022-12-26T01:54:04.434Z"
43,0.6822046,-0.1011499,0.7407349,318,"2022-12-26T01:55:04.996Z"
48,0.6802002,-0.09997314,0.7428906,319,"2022-12-26T01:56:05.558Z"
45,0.681499,-0.10165283,0.74035645,319,"2022-12-26T01:57:06.120Z"
45,0.67911863,-0.0998291,0.743479,319,"2022-12-26T01:58:06.682Z"
39,0.67976564,-0.10083496,0.74318117,319,"2022-12-26T01:59:07.245Z"
46,0.68066406,-0.10234863,0.7417309,319,"2022-12-26T02:00:07.807Z"
46,0.6860107,-0.10783692,0.736687,319,"2022-12-26T02:01:08.369Z"
35,0.6821973,-0.10326416,0.7410425,318,"2022-12-26T02:02:08.931Z"
37,0.6838965,-0.10616943,0.7391968,317,"2022-12-26T02:03:09.493Z"
40,0.68303466,-0.10325439,0.7403906,316,"2022-12-26T02:04:10.056Z"
38,0.6842847,-0.10520264,0.738606,315,"2022-12-26T02:05:10.618Z"
35,0.7709497,-0.13409913,0.6469971,308,"2022-12-26T02:06:11.180Z"
38,0.7738941,-0.121933594,0.64632326,308,"2022-12-26T02:07:11.742Z"
41,0.7747656,-0.120480955,0.6456665,310,"2022-12-26T02:08:12.305Z"
44,0.7756665,-0.1170752,0.6444336,311,"2022-12-26T02:09:12.867Z"
46,-0.5748584,0.7452417,0.27378175,310,"2022-12-26T02:10:13.442Z"
44,-0.57555175,0.74103516,0.2843823,307,"2022-12-26T02:11:14.004Z"
35,-0.5733081,0.7395459,0.2907251,308,"2022-12-26T02:12:14.566Z"
41,-0.5767822,0.73485595,0.2961621,307,"2022-12-26T02:13:15.128Z"
40,-0.57601565,0.7334766,0.29813966,308,"2022-12-26T02:14:15.690Z"
41,-0.5739868,0.7341455,0.30273193,308,"2022-12-26T02:15:16.253Z"
41,-0.57758546,0.7354248,0.29210448,309,"2022-12-26T02:16:16.815Z"
38,-0.57709473,0.73453367,0.29338378,310,"2022-12-26T02:17:17.377Z"
38,-0.576416,0.7354541,0.29538575,310,"2022-12-26T02:18:17.939Z"
45,-0.57595706,0.73500246,0.2971118,310,"2022-12-26T02:19:18.501Z"
35,-0.5788672,0.7331445,0.29536134,311,"2022-12-26T02:20:19.064Z"
40,-0.5770508,0.7323682,0.30098632,311,"2022-12-26T02:21:19.626Z"
39,-0.57993895,0.7313965,0.29826415,311,"2022-12-26T02:22:20.173Z"
35,-0.5767749,0.7313647,0.30257812,311,"2022-12-26T02:23:20.736Z"
38,-0.5774951,0.7310303,0.30282715,312,"2022-12-26T02:24:21.298Z"
38,-0.57625246,0.7315698,0.30391356,312,"2022-12-26T02:25:21.860Z"
41,-0.57784426,0.73107666,0.30302003,312,"2022-12-26T02:26:22.422Z"
41,-0.5786035,0.7310474,0.30148682,313,"2022-12-26T02:27:22.984Z"
41,-0.57642335,0.7312988,0.30575684,313,"2022-12-26T02:28:23.547Z"
37,-0.5765698,0.73081785,0.306062,314,"2022-12-26T02:29:24.117Z"
39,-0.5779297,0.7303467,0.3029297,313,"2022-12-26T02:30:24.683Z"
37,-0.5768994,0.7308691,0.30597413,313,"2022-12-26T02:31:25.246Z"
36,-0.5763086,0.73006594,0.30777588,313,"2022-12-26T02:32:25.808Z"
40,-0.57638186,0.7300195,0.30684814,313,"2022-12-26T02:33:26.370Z"
37,-0.5761304,0.73017335,0.30818117,313,"2022-12-26T02:34:26.932Z"
40,-0.57595944,0.7298218,0.30821046,314,"2022-12-26T02:35:27.494Z"
37,-0.5784082,0.72916013,0.30604494,314,"2022-12-26T02:36:28.057Z"
43,-0.5783203,0.7285498,0.30570802,314,"2022-12-26T02:37:28.618Z"
37,-0.5776416,0.72873044,0.30810547,314,"2022-12-26T02:38:29.181Z"
36,-0.5774805,0.7288745,0.30764648,314,"2022-12-26T02:39:29.743Z"
47,0.7349878,0.179729,0.66908205,323,"2022-12-26T02:40:30.305Z"
39,0.7382886,0.16761963,0.66875,322,"2022-12-26T02:41:30.868Z"
43,0.73893064,0.17049804,0.66739744,322,"2022-12-26T02:42:31.430Z"
37,0.7416113,0.17125976,0.66370606,322,"2022-12-26T02:43:31.992Z"
41,0.7423657,0.17242187,0.6629712,322,"2022-12-26T02:44:32.554Z"
37,0.74336183,0.17313233,0.6617187,322,"2022-12-26T02:45:33.116Z"
34,0.6849243,-0.040478516,0.7427685,322,"2022-12-26T02:46:33.679Z"
35,0.68459475,-0.039628908,0.7438281,321,"2022-12-26T02:47:34.240Z"
35,0.68519044,-0.041469727,0.7427515,320,"2022-12-26T02:48:34.811Z"
37,0.6830786,-0.039296877,0.74533933,319,"2022-12-26T02:49:35.363Z"
40,0.6827783,-0.039265137,0.7455005,318,"2022-12-26T02:50:35.925Z"
37,0.6841455,-0.043010253,0.74342775,318,"2022-12-26T02:51:36.487Z"
38,0.6827588,-0.040222168,0.74587893,317,"2022-12-26T02:52:37.049Z"
37,0.6835474,-0.040788576,0.7451611,317,"2022-12-26T02:53:37.612Z"
37,0.6826782,-0.04097412,0.74613523,316,"2022-12-26T02:54:38.174Z"
37,0.68232423,-0.041430663,0.7462793,316,"2022-12-26T02:55:38.736Z"
38,0.68226075,-0.051467285,0.7453711,315,"2022-12-26T02:56:39.298Z"
37,0.68151367,-0.05076416,0.74591064,315,"2022-12-26T02:57:39.860Z"
36,0.68328124,-0.053308107,0.7443921,315,"2022-12-26T02:58:40.423Z"
35,0.6835205,-0.054504395,0.7435791,314,"2022-12-26T02:59:40.985Z"
37,0.6830322,-0.05303711,0.7451489,314,"2022-12-26T03:00:41.547Z"
37,0.6840845,-0.055476073,0.7440625,314,"2022-12-26T03:01:42.109Z"
36,0.68391114,-0.055788573,0.74411863,313,"2022-12-26T03:02:42.671Z"
39,0.6827832,-0.055163573,0.7449072,313,"2022-12-26T03:03:43.234Z"
36,0.68215334,-0.05373047,0.7456226,313,"2022-12-26T03:04:43.796Z"
37,0.6825098,-0.05406494,0.7456836,313,"2022-12-26T03:05:44.358Z"
37,0.6816211,-0.054177247,0.7462036,312,"2022-12-26T03:06:44.920Z"
37,0.68400145,-0.05660156,0.7436621,313,"2022-12-26T03:07:45.491Z"
38,0.68229246,-0.054699708,0.7454077,312,"2022-12-26T03:08:46.057Z"
36,0.6811279,-0.053654786,0.74689454,312,"2022-12-26T03:09:46.619Z"
38,0.68094236,-0.054614257,0.7464185,312,"2022-12-26T03:10:47.182Z"
37,0.6832153,-0.0577832,0.74474853,312,"2022-12-26T03:11:47.744Z"
38,0.6803662,-0.053947754,0.74748045,311,"2022-12-26T03:12:48.306Z"
41,0.6801416,-0.05409424,0.74718505,311,"2022-12-26T03:13:48.868Z"
38,0.6808447,-0.055266112,0.74630374,311,"2022-12-26T03:14:49.430Z"
37,0.68062013,-0.05394043,0.7473438,311,"2022-12-26T03:15:49.993Z"
35,0.6808008,-0.055063475,0.74727786,311,"2022-12-26T03:16:50.555Z"
37,0.68020993,-0.054482423,0.74736816,310,"2022-12-26T03:17:51.117Z"
36,0.6804346,-0.055339355,0.74690187,310,"2022-12-26T03:18:51.679Z"
36,0.6806616,-0.05545166,0.7470483,310,"2022-12-26T03:19:52.241Z"
35,0.6821948,-0.057424318,0.7456714,310,"2022-12-26T03:20:52.804Z"
37,0.6798486,-0.05459717,0.74766845,309,"2022-12-26T03:21:53.366Z"
38,0.67996335,-0.055083007,0.74687743,309,"2022-12-26T03:22:53.928Z"
34,0.68179685,-0.057402343,0.7461182,309,"2022-12-26T03:23:54.490Z"
37,0.67985594,-0.05557617,0.74725586,309,"2022-12-26T03:24:55.052Z"
36,0.68048096,-0.056604005,0.74736327,309,"2022-12-26T03:25:55.615Z"
38,0.6806494,-0.055771485,0.74746585,308,"2022-12-26T03:26:56.185Z"
40,0.6796777,-0.056359865,0.74746585,308,"2022-12-26T03:27:56.752Z"
37,0.6798633,-0.056032714,0.7480005,308,"2022-12-26T03:28:57.314Z"
36,0.6801392,-0.056308594,0.7476831,307,"2022-12-26T03:29:57.876Z"
38,0.68256104,-0.0596167,0.7454419,307,"2022-12-26T03:30:58.438Z"
38,0.6820215,-0.05936035,0.7449243,307,"2022-12-26T03:31:59.000Z"
37,0.6794678,-0.055605467,0.7478809,307,"2022-12-26T03:32:59.563Z"
37,0.6799463,-0.05596924,0.74763674,306,"2022-12-26T03:34:00.125Z"
36,0.6793823,-0.056003418,0.74801517,306,"2022-12-26T03:35:00.687Z"
38,0.6806396,-0.05800537,0.74709964,306,"2022-12-26T03:36:01.250Z"
36,0.6801172,-0.055393066,0.7476831,305,"2022-12-26T03:37:01.812Z"
50,-0.20233154,-0.4507544,-0.8872266,305,"2022-12-26T03:38:02.374Z"
45,-0.103027344,-0.66648924,-0.7593604,304,"2022-12-26T03:39:02.936Z"
54,-0.10174316,-0.66905516,-0.7572583,305,"2022-12-26T03:40:03.498Z"
33,0.6372095,0.5731201,0.52734864,307,"2022-12-26T03:41:04.061Z"
35,0.6356787,0.57398194,0.5270703,306,"2022-12-26T03:42:04.623Z"
34,0.63407224,0.57410157,0.5295044,306,"2022-12-26T03:43:05.185Z"
39,0.63353515,0.5739746,0.52986574,306,"2022-12-26T03:44:05.747Z"
39,0.63327146,0.576001,0.5271997,306,"2022-12-26T03:45:06.310Z"
33,0.61426026,0.53528076,0.58816165,306,"2022-12-26T03:46:06.880Z"
41,0.6119678,0.5353687,0.59080076,307,"2022-12-26T03:47:07.446Z"
39,0.61279786,0.53404784,0.590791,307,"2022-12-26T03:48:08.009Z"
